# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=15) -> e + D2(J1Dg,vf=23)
# Initial-state energy: -1.01874 Hartrees
# Final-state energy:   -0.55627 Hartrees
# Threshold: 1.25845E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.25845E+01   0.00000E+00
  1.30000E+01   3.17870E-05
  1.35000E+01   2.81804E-05
  1.40000E+01   2.61540E-05
  1.45000E+01   2.49184E-05
  1.50000E+01   2.39847E-05
  1.55000E+01   2.31977E-05
  1.60000E+01   2.25070E-05
  1.65000E+01   2.18929E-05
  1.70000E+01   2.13240E-05
  1.75000E+01   2.07910E-05
  1.80000E+01   2.02861E-05
  1.85000E+01   1.98089E-05
  1.90000E+01   1.93603E-05
  1.95000E+01   1.89337E-05
  2.00000E+01   1.85301E-05
  2.10000E+01   1.77822E-05
  2.20000E+01   1.71039E-05
  2.30000E+01   1.64965E-05
  2.40000E+01   1.59535E-05
  2.50000E+01   1.54510E-05
  2.60000E+01   1.49845E-05
  2.70000E+01   1.45496E-05
  2.80000E+01   1.41480E-05
  2.90000E+01   1.37705E-05
  3.00000E+01   1.34182E-05
  3.50000E+01   1.20137E-05
  4.00000E+01   1.09684E-05
  4.50000E+01   1.01349E-05
  5.00000E+01   9.44582E-06
  6.00000E+01   8.36611E-06
  7.00000E+01   7.53904E-06
  8.00000E+01   6.86638E-06
  9.00000E+01   6.30161E-06
  1.00000E+02   5.82208E-06
  1.25000E+02   4.88754E-06
  1.50000E+02   4.18267E-06
  2.00000E+02   3.21125E-06
  2.50000E+02   2.57219E-06
  3.00000E+02   2.12298E-06
  3.50000E+02   1.79208E-06
  4.00000E+02   1.53749E-06
  4.50000E+02   1.33645E-06
  5.00000E+02   1.17683E-06
