# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=15) -> e + D2(e3Su) (sum over all bound final vibrational levels)
# Initial-state energy: -1.01874 Hartrees
#
# Threshold: 9.21961E+00 eV
#
# Energy (eV)   CS (a_0^2)
  9.21961E+00   0.00000E+00
  9.50000E+00   1.88352E-08
  1.00000E+01   5.85426E-06
  1.05000E+01   3.66680E-02
  1.15000E+01   8.06199E-02
  1.20000E+01   8.30857E-02
  1.25000E+01   8.25259E-02
  1.30000E+01   8.17311E-02
  1.35000E+01   7.91390E-02
  1.40000E+01   7.49659E-02
  1.45000E+01   7.10144E-02
  1.50000E+01   6.71875E-02
  1.55000E+01   6.35253E-02
  1.60000E+01   6.00640E-02
  1.65000E+01   5.68406E-02
  1.70000E+01   5.34847E-02
  1.75000E+01   5.02286E-02
  1.80000E+01   4.71856E-02
  1.85000E+01   4.43496E-02
  1.90000E+01   4.17109E-02
  1.95000E+01   3.92554E-02
  2.00000E+01   3.69767E-02
  2.10000E+01   3.28883E-02
  2.20000E+01   2.93578E-02
  2.30000E+01   2.62975E-02
  2.40000E+01   2.36378E-02
  2.50000E+01   2.13153E-02
  2.60000E+01   1.92837E-02
  2.70000E+01   1.74996E-02
  2.80000E+01   1.59290E-02
  2.90000E+01   1.45398E-02
  3.00000E+01   1.33122E-02
  3.50000E+01   8.97457E-03
  4.00000E+01   6.33043E-03
  4.50000E+01   4.63282E-03
  5.00000E+01   3.49206E-03
  6.00000E+01   2.13280E-03
  7.00000E+01   1.39956E-03
  8.00000E+01   9.69267E-04
  9.00000E+01   7.00097E-04
  1.00000E+02   5.22106E-04
  1.25000E+02   2.80425E-04
  1.50000E+02   1.67702E-04
