# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=15) -> e + D2(i3Pg) (dissociative excitation)
# Initial-state energy: -1.01874 Hartrees
#
# Threshold: 1.07142E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.07142E+01   0.00000E+00
  1.15000E+01   3.34305E-02
  1.20000E+01   5.24920E-02
  1.25000E+01   6.34246E-02
  1.30000E+01   6.54814E-02
  1.35000E+01   7.19603E-02
  1.40000E+01   7.42894E-02
  1.45000E+01   7.49776E-02
  1.50000E+01   7.47253E-02
  1.55000E+01   7.34794E-02
  1.60000E+01   7.20382E-02
  1.65000E+01   7.00651E-02
  1.70000E+01   6.79209E-02
  1.75000E+01   6.55433E-02
  1.80000E+01   6.33053E-02
  1.85000E+01   6.10238E-02
  1.90000E+01   5.86757E-02
  1.95000E+01   5.63249E-02
  2.00000E+01   5.40098E-02
  2.10000E+01   4.95623E-02
  2.20000E+01   4.54300E-02
  2.30000E+01   4.16455E-02
  2.40000E+01   3.82103E-02
  2.50000E+01   3.50963E-02
  2.60000E+01   3.22806E-02
  2.70000E+01   2.97368E-02
  2.80000E+01   2.74387E-02
  2.90000E+01   2.53614E-02
  3.00000E+01   2.34817E-02
  3.50000E+01   1.63853E-02
  4.00000E+01   1.18849E-02
  4.50000E+01   8.91724E-03
  5.00000E+01   6.89649E-03
  6.00000E+01   4.29677E-03
  7.00000E+01   2.79596E-03
  8.00000E+01   1.93321E-03
  9.00000E+01   1.39652E-03
  1.00000E+02   1.04357E-03
  1.25000E+02   5.61717E-04
  1.50000E+02   3.37684E-04
