# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=16) -> e + D2(g3Sg) (sum over all final vibrational levels)
# Initial-state energy: -1.01346 Hartrees
#
# Threshold: 9.73229E+00 eV
#
# Energy (eV)   CS (a_0^2)
  9.73229E+00   0.00000E+00
  1.00000E+01   1.18459E-07
  1.05000E+01   2.83451E-07
  1.15000E+01   2.80274E-02
  1.20000E+01   5.31319E-02
  1.25000E+01   6.14499E-02
  1.30000E+01   6.39637E-02
  1.35000E+01   6.35948E-02
  1.40000E+01   6.18612E-02
  1.45000E+01   5.89963E-02
  1.50000E+01   5.58811E-02
  1.55000E+01   5.26379E-02
  1.60000E+01   4.93740E-02
  1.65000E+01   4.63327E-02
  1.70000E+01   4.36248E-02
  1.75000E+01   4.10687E-02
  1.80000E+01   3.85978E-02
  1.85000E+01   3.62393E-02
  1.90000E+01   3.40289E-02
  1.95000E+01   3.19726E-02
  2.00000E+01   3.00641E-02
  2.10000E+01   2.66560E-02
  2.20000E+01   2.37005E-02
  2.30000E+01   2.11253E-02
  2.40000E+01   1.88985E-02
  2.50000E+01   1.69657E-02
  2.60000E+01   1.52841E-02
  2.70000E+01   1.38143E-02
  2.80000E+01   1.25256E-02
  2.90000E+01   1.13909E-02
  3.00000E+01   1.03917E-02
  3.50000E+01   6.81809E-03
  4.00000E+01   4.71635E-03
  4.50000E+01   3.40067E-03
  5.00000E+01   2.53454E-03
  6.00000E+01   1.52123E-03
  7.00000E+01   9.88086E-04
  8.00000E+01   6.83868E-04
  9.00000E+01   4.98243E-04
  1.00000E+02   3.78145E-04
  1.25000E+02   2.23789E-04
  1.50000E+02   1.60687E-04
