# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=18) -> e + D2(B1Su) (dissociative excitation)
# Initial-state energy: -1.00522 Hartrees
#
# Threshold: 1.03463E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.03463E+01   0.00000E+00
  1.05000E+01   2.14662E-04
  1.15000E+01   5.51019E-03
  1.20000E+01   1.05218E-02
  1.25000E+01   1.72151E-02
  1.30000E+01   2.48207E-02
  1.35000E+01   3.08955E-02
  1.40000E+01   3.59906E-02
  1.45000E+01   4.03236E-02
  1.50000E+01   4.50950E-02
  1.55000E+01   4.96081E-02
  1.60000E+01   5.39361E-02
  1.65000E+01   5.82162E-02
  1.70000E+01   6.23395E-02
  1.75000E+01   6.62789E-02
  1.80000E+01   7.00354E-02
  1.85000E+01   7.36161E-02
  1.90000E+01   7.70284E-02
  1.95000E+01   8.02800E-02
  2.00000E+01   8.33814E-02
  2.10000E+01   8.91659E-02
  2.20000E+01   9.44554E-02
  2.30000E+01   9.92894E-02
  2.40000E+01   1.03714E-01
  2.50000E+01   1.07769E-01
  2.60000E+01   1.11488E-01
  2.70000E+01   1.14900E-01
  2.80000E+01   1.18033E-01
  2.90000E+01   1.20912E-01
  3.00000E+01   1.23556E-01
  3.50000E+01   1.33878E-01
  4.00000E+01   1.40569E-01
  4.50000E+01   1.44741E-01
  5.00000E+01   1.47142E-01
  6.00000E+01   1.48453E-01
  7.00000E+01   1.46976E-01
  8.00000E+01   1.44007E-01
  9.00000E+01   1.40261E-01
  1.00000E+02   1.36148E-01
  1.25000E+02   1.25580E-01
  1.50000E+02   1.15671E-01
  2.00000E+02   9.90565E-02
  2.50000E+02   8.62822E-02
  3.00000E+02   7.63789E-02
  3.50000E+02   6.85694E-02
  4.00000E+02   6.22860E-02
  4.50000E+02   5.71435E-02
  5.00000E+02   5.28655E-02
