# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=18) -> e + D2(H1Sg) (dissociative excitation)
# Initial-state energy: -1.00522 Hartrees
#
# Threshold: 1.22360E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.22360E+01   0.00000E+00
  1.25000E+01   1.88278E-05
  1.30000E+01   1.50463E-04
  1.35000E+01   4.60640E-04
  1.40000E+01   9.78663E-04
  1.45000E+01   1.57751E-03
  1.50000E+01   2.15017E-03
  1.55000E+01   2.63145E-03
  1.60000E+01   3.06321E-03
  1.65000E+01   3.54680E-03
  1.70000E+01   3.91056E-03
  1.75000E+01   4.24094E-03
  1.80000E+01   4.55311E-03
  1.85000E+01   4.85234E-03
  1.90000E+01   5.09844E-03
  1.95000E+01   5.30781E-03
  2.00000E+01   5.48765E-03
  2.10000E+01   5.79740E-03
  2.20000E+01   6.03621E-03
  2.30000E+01   6.22302E-03
  2.40000E+01   6.36834E-03
  2.50000E+01   6.48033E-03
  2.60000E+01   6.56747E-03
  2.70000E+01   6.63164E-03
  2.80000E+01   6.67683E-03
  2.90000E+01   6.70647E-03
  3.00000E+01   6.72257E-03
  3.50000E+01   6.66600E-03
  4.00000E+01   6.47894E-03
  4.50000E+01   6.23642E-03
  5.00000E+01   5.97441E-03
  6.00000E+01   5.44741E-03
  7.00000E+01   4.96920E-03
  8.00000E+01   4.55105E-03
  9.00000E+01   4.19089E-03
  1.00000E+02   3.88161E-03
  1.25000E+02   3.28409E-03
  1.50000E+02   2.86559E-03
  2.00000E+02   2.34126E-03
  2.50000E+02   2.03812E-03
  3.00000E+02   1.83824E-03
  3.50000E+02   1.68368E-03
  4.00000E+02   1.54263E-03
  4.50000E+02   1.39502E-03
  5.00000E+02   1.22885E-03
