# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=18) -> e + D2(b3Su) (dissociative excitation)
# Initial-state energy: -1.00522 Hartrees
#
# Threshold: 1.42033E-01 eV
#
# Energy (eV)   CS (a_0^2)
  1.42033E-01   0.00000E+00
  5.00000E-01   1.36249E+01
  1.00000E+00   2.62686E+01
  1.50000E+00   2.13476E+01
  2.00000E+00   1.45148E+01
  2.50000E+00   1.21079E+01
  3.00000E+00   1.09748E+01
  3.50000E+00   1.00364E+01
  4.00000E+00   9.41177E+00
  4.50000E+00   8.84739E+00
  5.00000E+00   8.38194E+00
  5.50000E+00   7.97606E+00
  6.00000E+00   7.61036E+00
  6.50000E+00   7.25782E+00
  7.00000E+00   6.90196E+00
  7.50000E+00   6.50409E+00
  8.00000E+00   6.10385E+00
  8.50000E+00   5.74196E+00
  9.00000E+00   5.37646E+00
  9.50000E+00   4.95894E+00
  1.00000E+01   4.54943E+00
  1.05000E+01   4.19484E+00
  1.10000E+01   3.88609E+00
  1.15000E+01   3.63839E+00
  1.20000E+01   3.42579E+00
  1.25000E+01   3.22539E+00
  1.30000E+01   3.04318E+00
  1.35000E+01   2.87839E+00
  1.40000E+01   2.72843E+00
  1.45000E+01   2.59176E+00
  1.50000E+01   2.46445E+00
  1.55000E+01   2.33807E+00
  1.60000E+01   2.21342E+00
  1.65000E+01   2.09435E+00
  1.70000E+01   1.98469E+00
  1.75000E+01   1.88268E+00
  1.80000E+01   1.78483E+00
  1.85000E+01   1.69240E+00
  1.90000E+01   1.60666E+00
  1.95000E+01   1.52889E+00
  2.00000E+01   1.46035E+00
  2.10000E+01   1.34012E+00
  2.20000E+01   1.23256E+00
  2.30000E+01   1.13632E+00
  2.40000E+01   1.05008E+00
  2.50000E+01   9.72514E-01
  2.60000E+01   9.02284E-01
  2.70000E+01   8.38063E-01
  2.80000E+01   7.78521E-01
  2.90000E+01   7.22326E-01
  3.00000E+01   6.68149E-01
  3.50000E+01   4.84575E-01
  4.00000E+01   3.88118E-01
  4.50000E+01   3.12445E-01
  5.00000E+01   2.64271E-01
  6.00000E+01   1.97575E-01
  7.00000E+01   1.36313E-01
  8.00000E+01   9.47288E-02
  9.00000E+01   6.65870E-02
  1.00000E+02   4.81553E-02
  1.25000E+02   2.51370E-02
  1.50000E+02   1.31110E-02
