# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=18) -> e + D2(e3Su) (sum over all final vibrational levels)
# Initial-state energy: -1.00522 Hartrees
#
# Threshold: 8.85173E+00 eV
#
# Energy (eV)   CS (a_0^2)
  8.85173E+00   0.00000E+00
  9.00000E+00   1.20314E-09
  9.50000E+00   1.77295E-07
  1.00000E+01   4.61254E-05
  1.05000E+01   7.38447E-02
  1.15000E+01   1.44390E-01
  1.20000E+01   1.52031E-01
  1.25000E+01   1.53291E-01
  1.30000E+01   1.51387E-01
  1.35000E+01   1.47748E-01
  1.40000E+01   1.42606E-01
  1.45000E+01   1.36933E-01
  1.50000E+01   1.31548E-01
  1.55000E+01   1.25636E-01
  1.60000E+01   1.19519E-01
  1.65000E+01   1.13823E-01
  1.70000E+01   1.08468E-01
  1.75000E+01   1.03268E-01
  1.80000E+01   9.81858E-02
  1.85000E+01   9.32667E-02
  1.90000E+01   8.85344E-02
  1.95000E+01   8.40276E-02
  2.00000E+01   7.97516E-02
  2.10000E+01   7.18955E-02
  2.20000E+01   6.49165E-02
  2.30000E+01   5.87370E-02
  2.40000E+01   5.32654E-02
  2.50000E+01   4.84219E-02
  2.60000E+01   4.41172E-02
  2.70000E+01   4.03212E-02
  2.80000E+01   3.69232E-02
  2.90000E+01   3.38806E-02
  3.00000E+01   3.11670E-02
  3.50000E+01   2.11791E-02
  4.00000E+01   1.50347E-02
  4.50000E+01   1.10579E-02
  5.00000E+01   8.37252E-03
  6.00000E+01   5.14250E-03
  7.00000E+01   3.38862E-03
  8.00000E+01   2.35381E-03
  9.00000E+01   1.70338E-03
  1.00000E+02   1.27343E-03
  1.25000E+02   6.85276E-04
  1.50000E+02   4.11428E-04
