# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=18) -> e + D2(g3Sg) (sum over all bound final vibrational levels)
# Initial-state energy: -1.00522 Hartrees
#
# Threshold: 9.50808E+00 eV
#
# Energy (eV)   CS (a_0^2)
  9.50808E+00   0.00000E+00
  1.00000E+01   1.74367E-08
  1.05000E+01   2.19412E-07
  1.15000E+01   1.84046E-02
  1.20000E+01   5.24242E-02
  1.25000E+01   5.99381E-02
  1.30000E+01   6.09607E-02
  1.35000E+01   5.95615E-02
  1.40000E+01   5.71011E-02
  1.45000E+01   5.41813E-02
  1.50000E+01   5.11084E-02
  1.55000E+01   4.80449E-02
  1.60000E+01   4.50684E-02
  1.65000E+01   4.22219E-02
  1.70000E+01   3.95463E-02
  1.75000E+01   3.70455E-02
  1.80000E+01   3.47171E-02
  1.85000E+01   3.25567E-02
  1.90000E+01   3.05544E-02
  1.95000E+01   2.86988E-02
  2.00000E+01   2.69806E-02
  2.10000E+01   2.39132E-02
  2.20000E+01   2.12728E-02
  2.30000E+01   1.89952E-02
  2.40000E+01   1.70240E-02
  2.50000E+01   1.53117E-02
  2.60000E+01   1.38183E-02
  2.70000E+01   1.25111E-02
  2.80000E+01   1.13625E-02
  2.90000E+01   1.03489E-02
  3.00000E+01   9.45293E-03
  3.50000E+01   6.23397E-03
  4.00000E+01   4.32721E-03
  4.50000E+01   3.12698E-03
  5.00000E+01   2.33437E-03
  6.00000E+01   1.40312E-03
  7.00000E+01   9.10201E-04
  8.00000E+01   6.24816E-04
  9.00000E+01   4.48080E-04
  1.00000E+02   3.31874E-04
  1.25000E+02   1.74657E-04
  1.50000E+02   1.03254E-04
