# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=19) -> e + D2(EF1Sg,vf=11)
# Initial-state energy: -1.00242 Hartrees
# Final-state energy:   -0.68835 Hartrees
# Threshold: 8.54627E+00 eV
#
# Energy (eV)   CS (a_0^2)
  8.54627E+00   0.00000E+00
  9.00000E+00   5.61635E-03
  9.50000E+00   9.56063E-03
  1.00000E+01   1.25703E-02
  1.05000E+01   1.48220E-02
  1.15000E+01   1.71243E-02
  1.20000E+01   1.75961E-02
  1.25000E+01   1.78784E-02
  1.30000E+01   1.80468E-02
  1.35000E+01   1.81148E-02
  1.40000E+01   1.81220E-02
  1.45000E+01   1.80759E-02
  1.50000E+01   1.79453E-02
  1.55000E+01   1.76883E-02
  1.60000E+01   1.74187E-02
  1.65000E+01   1.70455E-02
  1.70000E+01   1.67297E-02
  1.75000E+01   1.63353E-02
  1.80000E+01   1.60003E-02
  1.85000E+01   1.56041E-02
  1.90000E+01   1.52811E-02
  1.95000E+01   1.49226E-02
  2.00000E+01   1.46324E-02
  2.10000E+01   1.40508E-02
  2.20000E+01   1.35366E-02
  2.30000E+01   1.30711E-02
  2.40000E+01   1.26815E-02
  2.50000E+01   1.23116E-02
  2.60000E+01   1.19654E-02
  2.70000E+01   1.16350E-02
  2.80000E+01   1.13200E-02
  2.90000E+01   1.10158E-02
  3.00000E+01   1.07234E-02
  3.50000E+01   9.40064E-03
  4.00000E+01   8.27860E-03
  4.50000E+01   7.32204E-03
  5.00000E+01   6.54682E-03
  6.00000E+01   5.35130E-03
  7.00000E+01   4.52073E-03
  8.00000E+01   3.89967E-03
  9.00000E+01   3.41179E-03
  1.00000E+02   3.02333E-03
  1.25000E+02   2.35718E-03
  1.50000E+02   1.94930E-03
  2.00000E+02   1.45114E-03
  2.50000E+02   1.13883E-03
  3.00000E+02   9.25268E-04
  3.50000E+02   7.73140E-04
  4.00000E+02   6.89200E-04
  4.50000E+02   6.73010E-04
  5.00000E+02   6.68444E-04
