# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=19) -> e + D2(H1Sg) (sum over all final vibrational levels)
# Initial-state energy: -1.00242 Hartrees
#
# Threshold: 9.55796E+00 eV
#
# Energy (eV)   CS (a_0^2)
  9.55796E+00   0.00000E+00
  1.00000E+01   6.69300E-07
  1.05000E+01   3.16232E-07
  1.15000E+01   5.80718E-03
  1.20000E+01   1.30433E-02
  1.25000E+01   1.98500E-02
  1.30000E+01   2.61956E-02
  1.35000E+01   3.20383E-02
  1.40000E+01   3.73976E-02
  1.45000E+01   4.23157E-02
  1.50000E+01   4.67568E-02
  1.55000E+01   5.08270E-02
  1.60000E+01   5.44654E-02
  1.65000E+01   5.77487E-02
  1.70000E+01   6.07395E-02
  1.75000E+01   6.34598E-02
  1.80000E+01   6.59262E-02
  1.85000E+01   6.81488E-02
  1.90000E+01   7.01524E-02
  1.95000E+01   7.19601E-02
  2.00000E+01   7.36096E-02
  2.10000E+01   7.64366E-02
  2.20000E+01   7.87256E-02
  2.30000E+01   8.05756E-02
  2.40000E+01   8.20415E-02
  2.50000E+01   8.31938E-02
  2.60000E+01   8.40796E-02
  2.70000E+01   8.47384E-02
  2.80000E+01   8.51982E-02
  2.90000E+01   8.54935E-02
  3.00000E+01   8.56338E-02
  3.50000E+01   8.47939E-02
  4.00000E+01   8.23863E-02
  4.50000E+01   7.92671E-02
  5.00000E+01   7.58719E-02
  6.00000E+01   6.90661E-02
  7.00000E+01   6.27985E-02
  8.00000E+01   5.72494E-02
  9.00000E+01   5.24194E-02
  1.00000E+02   4.82139E-02
  1.25000E+02   3.98968E-02
  1.50000E+02   3.38700E-02
  2.00000E+02   2.59266E-02
  2.50000E+02   2.10591E-02
  3.00000E+02   1.78193E-02
  3.50000E+02   1.55119E-02
  4.00000E+02   1.37551E-02
  4.50000E+02   1.23278E-02
  5.00000E+02   1.10779E-02
