# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=19) -> e + D2(a3Sg,vf=0)
# Initial-state energy: -1.00242 Hartrees
# Final-state energy:   -0.73289 Hartrees
# Threshold: 7.33444E+00 eV
#
# Energy (eV)   CS (a_0^2)
  7.33444E+00   0.00000E+00
  7.50000E+00   4.34519E-07
  8.00000E+00   7.75454E-08
  8.50000E+00   4.59163E-09
  9.00000E+00   3.24063E-09
  9.50000E+00   4.48976E-09
  1.00000E+01   9.75743E-10
  1.05000E+01   1.93505E-10
  1.15000E+01   4.78509E-10
  1.20000E+01   2.04373E-10
  1.25000E+01   4.04558E-10
  1.30000E+01   7.92830E-10
  1.35000E+01   1.10776E-09
  1.40000E+01   1.07393E-09
  1.45000E+01   1.05891E-09
  1.50000E+01   1.02551E-09
  1.55000E+01   1.03087E-09
  1.60000E+01   9.85601E-10
  1.65000E+01   9.73735E-10
  1.70000E+01   9.53496E-10
  1.75000E+01   8.98042E-10
  1.80000E+01   8.72605E-10
  1.85000E+01   8.65022E-10
  1.90000E+01   8.04446E-10
  1.95000E+01   7.96395E-10
  2.00000E+01   7.40767E-10
  2.10000E+01   6.81713E-10
  2.20000E+01   6.25298E-10
  2.30000E+01   5.67276E-10
  2.40000E+01   5.17693E-10
  2.50000E+01   5.00304E-10
  2.60000E+01   4.14429E-10
  2.70000E+01   4.07070E-10
  2.80000E+01   3.68103E-10
  2.90000E+01   3.34391E-10
  3.00000E+01   3.03675E-10
  3.50000E+01   1.82483E-10
  4.00000E+01   1.22509E-10
  4.50000E+01   7.98356E-11
  5.00000E+01   6.12599E-11
  6.00000E+01   3.18627E-11
  7.00000E+01   1.83689E-11
  8.00000E+01   1.11933E-11
  9.00000E+01   7.14386E-12
  1.00000E+02   4.88494E-12
  1.25000E+02   2.11774E-12
  1.50000E+02   1.01045E-12
