# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=19) -> e + D2(c3Pu) (sum over all bound final vibrational levels)
# Initial-state energy: -1.00242 Hartrees
#
# Threshold: 7.31521E+00 eV
#
# Energy (eV)   CS (a_0^2)
  7.31521E+00   0.00000E+00
  7.50000E+00   5.25735E-10
  8.00000E+00   3.33555E-07
  8.50000E+00   5.09731E-06
  9.00000E+00   3.71661E-04
  9.50000E+00   7.96437E-02
  1.00000E+01   4.36254E-01
  1.05000E+01   5.43407E-01
  1.15000E+01   5.55335E-01
  1.20000E+01   5.33544E-01
  1.25000E+01   5.05978E-01
  1.30000E+01   4.76290E-01
  1.35000E+01   4.46432E-01
  1.40000E+01   4.17528E-01
  1.45000E+01   3.90239E-01
  1.50000E+01   3.63629E-01
  1.55000E+01   3.39227E-01
  1.60000E+01   3.16602E-01
  1.65000E+01   2.95679E-01
  1.70000E+01   2.76360E-01
  1.75000E+01   2.58539E-01
  1.80000E+01   2.42100E-01
  1.85000E+01   2.26937E-01
  1.90000E+01   2.12948E-01
  1.95000E+01   2.00031E-01
  2.00000E+01   1.88095E-01
  2.10000E+01   1.66844E-01
  2.20000E+01   1.48600E-01
  2.30000E+01   1.32875E-01
  2.40000E+01   1.19260E-01
  2.50000E+01   1.07392E-01
  2.60000E+01   9.70354E-02
  2.70000E+01   8.79657E-02
  2.80000E+01   7.99862E-02
  2.90000E+01   7.29402E-02
  3.00000E+01   6.66998E-02
  3.50000E+01   4.42187E-02
  4.00000E+01   3.08221E-02
  4.50000E+01   2.23511E-02
  5.00000E+01   1.67309E-02
  6.00000E+01   1.00976E-02
  7.00000E+01   6.56688E-03
  8.00000E+01   4.51411E-03
  9.00000E+01   3.23888E-03
  1.00000E+02   2.40378E-03
  1.25000E+02   1.27560E-03
  1.50000E+02   7.57505E-04
