# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=2) -> e + D2(Bp1Su) (dissociative excitation)
# Initial-state energy: -1.14067 Hartrees
#
# Threshold: 1.40322E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.40322E+01   0.00000E+00
  1.45000E+01   3.09685E-04
  1.50000E+01   1.48703E-03
  1.55000E+01   2.89472E-03
  1.60000E+01   4.53018E-03
  1.65000E+01   6.63279E-03
  1.70000E+01   8.90293E-03
  1.75000E+01   1.11930E-02
  1.80000E+01   1.34667E-02
  1.85000E+01   1.57027E-02
  1.90000E+01   1.78914E-02
  1.95000E+01   2.00274E-02
  2.00000E+01   2.21069E-02
  2.10000E+01   2.60904E-02
  2.20000E+01   2.98450E-02
  2.30000E+01   3.33697E-02
  2.40000E+01   3.66740E-02
  2.50000E+01   3.97693E-02
  2.60000E+01   4.26671E-02
  2.70000E+01   4.53791E-02
  2.80000E+01   4.79167E-02
  2.90000E+01   5.02906E-02
  3.00000E+01   5.25110E-02
  3.50000E+01   6.16203E-02
  4.00000E+01   6.81578E-02
  4.50000E+01   7.27638E-02
  5.00000E+01   7.59614E-02
  6.00000E+01   7.94950E-02
  7.00000E+01   8.06127E-02
  8.00000E+01   8.03273E-02
  9.00000E+01   7.92230E-02
  1.00000E+02   7.76460E-02
  1.25000E+02   7.28272E-02
  1.50000E+02   6.78060E-02
  2.00000E+02   5.88180E-02
  2.50000E+02   5.15776E-02
  3.00000E+02   4.57968E-02
  3.50000E+02   4.11248E-02
  4.00000E+02   3.72892E-02
  4.50000E+02   3.40933E-02
  5.00000E+02   3.13882E-02
