# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=2) -> e + D2(EF1Sg) (sum over all bound final vibrational levels)
# Initial-state energy: -1.14067 Hartrees
#
# Threshold: 1.16063E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.16063E+01   0.00000E+00
  1.20000E+01   3.13882E-03
  1.25000E+01   2.37867E-02
  1.30000E+01   5.51704E-02
  1.35000E+01   9.12279E-02
  1.40000E+01   1.17685E-01
  1.45000E+01   1.37350E-01
  1.50000E+01   1.45062E-01
  1.55000E+01   1.49915E-01
  1.60000E+01   1.55134E-01
  1.65000E+01   1.60095E-01
  1.70000E+01   1.61290E-01
  1.75000E+01   1.59756E-01
  1.80000E+01   1.58360E-01
  1.85000E+01   1.57100E-01
  1.90000E+01   1.55406E-01
  1.95000E+01   1.53825E-01
  2.00000E+01   1.53074E-01
  2.10000E+01   1.52322E-01
  2.20000E+01   1.51246E-01
  2.30000E+01   1.49800E-01
  2.40000E+01   1.48191E-01
  2.50000E+01   1.46579E-01
  2.60000E+01   1.45052E-01
  2.70000E+01   1.43595E-01
  2.80000E+01   1.42257E-01
  2.90000E+01   1.41168E-01
  3.00000E+01   1.40406E-01
  3.50000E+01   1.38101E-01
  4.00000E+01   1.37204E-01
  4.50000E+01   1.37748E-01
  5.00000E+01   1.38269E-01
  6.00000E+01   1.36006E-01
  7.00000E+01   1.27714E-01
  8.00000E+01   1.19950E-01
  9.00000E+01   1.13683E-01
  1.00000E+02   1.08358E-01
  1.25000E+02   9.78517E-02
  1.50000E+02   8.89845E-02
  2.00000E+02   7.34801E-02
  2.50000E+02   5.87869E-02
  3.00000E+02   4.73078E-02
  3.50000E+02   4.10794E-02
  4.00000E+02   3.69561E-02
  4.50000E+02   3.29489E-02
  5.00000E+02   3.02637E-02
