# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=2) -> e + D2(c3Pu) (sum over all final vibrational levels)
# Initial-state energy: -1.14067 Hartrees
#
# Threshold: 1.10772E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.10772E+01   0.00000E+00
  1.15000E+01   1.56198E-01
  1.20000E+01   2.58480E-01
  1.25000E+01   3.39190E-01
  1.30000E+01   3.78923E-01
  1.35000E+01   4.18579E-01
  1.40000E+01   4.54639E-01
  1.45000E+01   4.77195E-01
  1.50000E+01   4.85873E-01
  1.55000E+01   4.84301E-01
  1.60000E+01   4.76200E-01
  1.65000E+01   4.63863E-01
  1.70000E+01   4.48964E-01
  1.75000E+01   4.32777E-01
  1.80000E+01   4.16027E-01
  1.85000E+01   3.99060E-01
  1.90000E+01   3.82206E-01
  1.95000E+01   3.65706E-01
  2.00000E+01   3.49665E-01
  2.10000E+01   3.19218E-01
  2.20000E+01   2.91328E-01
  2.30000E+01   2.66018E-01
  2.40000E+01   2.43180E-01
  2.50000E+01   2.22621E-01
  2.60000E+01   2.04137E-01
  2.70000E+01   1.87517E-01
  2.80000E+01   1.72575E-01
  2.90000E+01   1.59076E-01
  3.00000E+01   1.46953E-01
  3.50000E+01   1.01419E-01
  4.00000E+01   7.27807E-02
  4.50000E+01   5.39923E-02
  5.00000E+01   4.11585E-02
  6.00000E+01   2.55536E-02
  7.00000E+01   1.69781E-02
  8.00000E+01   1.18647E-02
  9.00000E+01   8.62528E-03
  1.00000E+02   6.47352E-03
  1.25000E+02   3.51127E-03
  1.50000E+02   2.12099E-03
