# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=2) -> e + D2(e3Su,vf=8)
# Initial-state energy: -1.14067 Hartrees
# Final-state energy:   -0.63465 Hartrees
# Threshold: 1.37694E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.37694E+01   0.00000E+00
  1.40000E+01   1.13741E-03
  1.45000E+01   2.02486E-03
  1.50000E+01   2.39657E-03
  1.55000E+01   2.56614E-03
  1.60000E+01   2.63228E-03
  1.65000E+01   2.63630E-03
  1.70000E+01   2.59991E-03
  1.75000E+01   2.53781E-03
  1.80000E+01   2.46170E-03
  1.85000E+01   2.37731E-03
  1.90000E+01   2.28859E-03
  1.95000E+01   2.19810E-03
  2.00000E+01   2.10793E-03
  2.10000E+01   1.93190E-03
  2.20000E+01   1.76736E-03
  2.30000E+01   1.61525E-03
  2.40000E+01   1.47678E-03
  2.50000E+01   1.35108E-03
  2.60000E+01   1.23691E-03
  2.70000E+01   1.13029E-03
  2.80000E+01   1.06148E-03
  2.90000E+01   9.67492E-04
  3.00000E+01   8.91143E-04
  3.50000E+01   6.10433E-04
  4.00000E+01   4.35485E-04
  4.50000E+01   3.21513E-04
  5.00000E+01   2.44037E-04
  6.00000E+01   1.50454E-04
  7.00000E+01   9.93678E-05
  8.00000E+01   6.91497E-05
  9.00000E+01   5.01200E-05
  1.00000E+02   3.75073E-05
  1.25000E+02   2.02380E-05
  1.50000E+02   1.21735E-05
