# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=2) -> e + D2(j3Dg) (sum over all bound final vibrational levels)
# Initial-state energy: -1.14067 Hartrees
#
# Threshold: 1.32469E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.32469E+01   0.00000E+00
  1.35000E+01   2.38623E-03
  1.40000E+01   5.68173E-03
  1.45000E+01   9.35412E-03
  1.50000E+01   1.12143E-02
  1.55000E+01   1.29368E-02
  1.60000E+01   1.48705E-02
  1.65000E+01   1.61180E-02
  1.70000E+01   1.65068E-02
  1.75000E+01   1.64236E-02
  1.80000E+01   1.60967E-02
  1.85000E+01   1.56304E-02
  1.90000E+01   1.50760E-02
  1.95000E+01   1.44786E-02
  2.00000E+01   1.38714E-02
  2.10000E+01   1.26993E-02
  2.20000E+01   1.15930E-02
  2.30000E+01   1.05663E-02
  2.40000E+01   9.63260E-03
  2.50000E+01   8.79202E-03
  2.60000E+01   8.03696E-03
  2.70000E+01   7.35925E-03
  2.80000E+01   6.75138E-03
  2.90000E+01   6.20378E-03
  3.00000E+01   5.71271E-03
  3.50000E+01   3.88611E-03
  4.00000E+01   2.75476E-03
  4.50000E+01   2.02255E-03
  5.00000E+01   1.52727E-03
  6.00000E+01   9.32372E-04
  7.00000E+01   6.11170E-04
  8.00000E+01   4.22718E-04
  9.00000E+01   3.04786E-04
  1.00000E+02   2.27115E-04
  1.25000E+02   1.21441E-04
  1.50000E+02   7.25425E-05
