# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=20) -> e + D2(B1Su) (sum over all bound final vibrational levels)
# Initial-state energy: -1.00065 Hartrees
#
# Threshold: 6.69838E+00 eV
#
# Energy (eV)   CS (a_0^2)
  6.69838E+00   0.00000E+00
  7.00000E+00   3.64477E-05
  7.50000E+00   1.95663E-04
  8.00000E+00   3.31289E-02
  8.50000E+00   1.72154E-01
  9.00000E+00   3.01218E-01
  9.50000E+00   4.13966E-01
  1.00000E+01   5.10843E-01
  1.05000E+01   5.94427E-01
  1.15000E+01   7.30030E-01
  1.20000E+01   7.86401E-01
  1.25000E+01   8.37056E-01
  1.30000E+01   8.82969E-01
  1.35000E+01   9.24869E-01
  1.40000E+01   9.63329E-01
  1.45000E+01   9.98798E-01
  1.50000E+01   1.03164E+00
  1.55000E+01   1.06216E+00
  1.60000E+01   1.09061E+00
  1.65000E+01   1.11719E+00
  1.70000E+01   1.14209E+00
  1.75000E+01   1.16545E+00
  1.80000E+01   1.18742E+00
  1.85000E+01   1.20810E+00
  1.90000E+01   1.22760E+00
  1.95000E+01   1.24601E+00
  2.00000E+01   1.26340E+00
  2.10000E+01   1.29545E+00
  2.20000E+01   1.32418E+00
  2.30000E+01   1.35003E+00
  2.40000E+01   1.37333E+00
  2.50000E+01   1.39434E+00
  2.60000E+01   1.41330E+00
  2.70000E+01   1.43042E+00
  2.80000E+01   1.44585E+00
  2.90000E+01   1.45980E+00
  3.00000E+01   1.47230E+00
  3.50000E+01   1.51789E+00
  4.00000E+01   1.54188E+00
  4.50000E+01   1.55106E+00
  5.00000E+01   1.54960E+00
  6.00000E+01   1.52587E+00
  7.00000E+01   1.48551E+00
  8.00000E+01   1.43668E+00
  9.00000E+01   1.38405E+00
  1.00000E+02   1.33038E+00
  1.25000E+02   1.20118E+00
  1.50000E+02   1.08636E+00
  2.00000E+02   9.04844E-01
  2.50000E+02   7.75888E-01
  3.00000E+02   6.83061E-01
  3.50000E+02   6.13660E-01
  4.00000E+02   5.58732E-01
  4.50000E+02   5.12062E-01
  5.00000E+02   4.69284E-01
