# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=20) -> e + D2(I1Pg) (sum over all final vibrational levels)
# Initial-state energy: -1.00065 Hartrees
#
# Threshold: 9.38072E+00 eV
#
# Energy (eV)   CS (a_0^2)
  9.38072E+00   0.00000E+00
  9.50000E+00   5.62550E-09
  1.00000E+01   5.24265E-07
  1.05000E+01   1.41159E-02
  1.15000E+01   1.08825E-01
  1.20000E+01   1.62398E-01
  1.25000E+01   2.13841E-01
  1.30000E+01   2.61796E-01
  1.35000E+01   3.05922E-01
  1.40000E+01   3.46147E-01
  1.45000E+01   3.82565E-01
  1.50000E+01   4.15471E-01
  1.55000E+01   4.45138E-01
  1.60000E+01   4.71853E-01
  1.65000E+01   4.95880E-01
  1.70000E+01   5.17469E-01
  1.75000E+01   5.36846E-01
  1.80000E+01   5.54225E-01
  1.85000E+01   5.69797E-01
  1.90000E+01   5.83731E-01
  1.95000E+01   5.96209E-01
  2.00000E+01   6.07306E-01
  2.10000E+01   6.26021E-01
  2.20000E+01   6.40667E-01
  2.30000E+01   6.52011E-01
  2.40000E+01   6.60597E-01
  2.50000E+01   6.66888E-01
  2.60000E+01   6.71266E-01
  2.70000E+01   6.74045E-01
  2.80000E+01   6.75481E-01
  2.90000E+01   6.75824E-01
  3.00000E+01   6.75156E-01
  3.50000E+01   6.62410E-01
  4.00000E+01   6.40983E-01
  4.50000E+01   6.16430E-01
  5.00000E+01   5.91250E-01
  6.00000E+01   5.43175E-01
  7.00000E+01   5.00253E-01
  8.00000E+01   4.62739E-01
  9.00000E+01   4.30018E-01
  1.00000E+02   4.01391E-01
  1.25000E+02   3.43640E-01
  1.50000E+02   3.00034E-01
  2.00000E+02   2.38448E-01
  2.50000E+02   1.96783E-01
  3.00000E+02   1.66443E-01
  3.50000E+02   1.43159E-01
  4.00000E+02   1.24568E-01
  4.50000E+02   1.09253E-01
  5.00000E+02   9.63204E-02
