# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=20) -> e + D2(d3Pu) (sum over all final vibrational levels)
# Initial-state energy: -1.00065 Hartrees
#
# Threshold: 9.35318E+00 eV
#
# Energy (eV)   CS (a_0^2)
  9.35318E+00   0.00000E+00
  9.50000E+00   1.28778E-08
  1.00000E+01   1.51918E-07
  1.05000E+01   2.45736E-07
  1.15000E+01   9.24471E-03
  1.20000E+01   5.29333E-02
  1.25000E+01   7.96751E-02
  1.30000E+01   8.99902E-02
  1.35000E+01   9.36769E-02
  1.40000E+01   9.43480E-02
  1.45000E+01   9.28006E-02
  1.50000E+01   9.03484E-02
  1.55000E+01   8.72634E-02
  1.60000E+01   8.37179E-02
  1.65000E+01   8.00406E-02
  1.70000E+01   7.64452E-02
  1.75000E+01   7.29268E-02
  1.80000E+01   6.94675E-02
  1.85000E+01   6.60990E-02
  1.90000E+01   6.28530E-02
  1.95000E+01   5.97386E-02
  2.00000E+01   5.67624E-02
  2.10000E+01   5.12592E-02
  2.20000E+01   4.63409E-02
  2.30000E+01   4.19659E-02
  2.40000E+01   3.80810E-02
  2.50000E+01   3.46314E-02
  2.60000E+01   3.15662E-02
  2.70000E+01   2.88381E-02
  2.80000E+01   2.64061E-02
  2.90000E+01   2.42331E-02
  3.00000E+01   2.22872E-02
  3.50000E+01   1.51122E-02
  4.00000E+01   1.07050E-02
  4.50000E+01   7.86023E-03
  5.00000E+01   5.94603E-03
  6.00000E+01   3.64682E-03
  7.00000E+01   2.40005E-03
  8.00000E+01   1.66544E-03
  9.00000E+01   1.20417E-03
  1.00000E+02   8.99555E-04
  1.25000E+02   4.83314E-04
  1.50000E+02   2.89859E-04
