# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=21) -> e + D2(Bp1Su) (sum over all bound final vibrational levels)
# Initial-state energy: -1.00001 Hartrees
#
# Threshold: 9.18286E+00 eV
#
# Energy (eV)   CS (a_0^2)
  9.18286E+00   0.00000E+00
  9.50000E+00   2.68965E-08
  1.00000E+01   9.95400E-08
  1.05000E+01   3.57323E-01
  1.15000E+01   3.06853E-01
  1.20000E+01   2.92903E-01
  1.25000E+01   2.83528E-01
  1.30000E+01   2.76436E-01
  1.35000E+01   2.70627E-01
  1.40000E+01   2.65655E-01
  1.45000E+01   2.61238E-01
  1.50000E+01   2.57254E-01
  1.55000E+01   2.53592E-01
  1.60000E+01   2.50207E-01
  1.65000E+01   2.47043E-01
  1.70000E+01   2.44074E-01
  1.75000E+01   2.41274E-01
  1.80000E+01   2.38616E-01
  1.85000E+01   2.36102E-01
  1.90000E+01   2.33700E-01
  1.95000E+01   2.31402E-01
  2.00000E+01   2.29202E-01
  2.10000E+01   2.25076E-01
  2.20000E+01   2.21244E-01
  2.30000E+01   2.17682E-01
  2.40000E+01   2.14346E-01
  2.50000E+01   2.11205E-01
  2.60000E+01   2.08235E-01
  2.70000E+01   2.05435E-01
  2.80000E+01   2.02760E-01
  2.90000E+01   2.00217E-01
  3.00000E+01   1.97798E-01
  3.50000E+01   1.87093E-01
  4.00000E+01   1.78177E-01
  4.50000E+01   1.70536E-01
  5.00000E+01   1.63876E-01
  6.00000E+01   1.52703E-01
  7.00000E+01   1.43611E-01
  8.00000E+01   1.36014E-01
  9.00000E+01   1.29530E-01
  1.00000E+02   1.23918E-01
  1.25000E+02   1.12652E-01
  1.50000E+02   1.04121E-01
  2.00000E+02   9.19819E-02
  2.50000E+02   8.37769E-02
  3.00000E+02   7.79343E-02
  3.50000E+02   7.36611E-02
  4.00000E+02   7.05196E-02
  4.50000E+02   6.82323E-02
  5.00000E+02   6.66424E-02
