# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=21) -> e + D2(EF1Sg) (dissociative excitation)
# Initial-state energy: -1.00001 Hartrees
#
# Threshold: 1.02045E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.02045E+01   0.00000E+00
  1.05000E+01   4.57716E-05
  1.15000E+01   2.68712E-04
  1.20000E+01   4.03045E-04
  1.25000E+01   5.76297E-04
  1.30000E+01   7.59175E-04
  1.35000E+01   9.04242E-04
  1.40000E+01   1.03009E-03
  1.45000E+01   1.14837E-03
  1.50000E+01   1.17709E-03
  1.55000E+01   1.22273E-03
  1.60000E+01   1.31214E-03
  1.65000E+01   1.41328E-03
  1.70000E+01   1.49287E-03
  1.75000E+01   1.50504E-03
  1.80000E+01   1.50688E-03
  1.85000E+01   1.50661E-03
  1.90000E+01   1.50339E-03
  1.95000E+01   1.49473E-03
  2.00000E+01   1.48531E-03
  2.10000E+01   1.47185E-03
  2.20000E+01   1.45592E-03
  2.30000E+01   1.43636E-03
  2.40000E+01   1.41439E-03
  2.50000E+01   1.39336E-03
  2.60000E+01   1.37394E-03
  2.70000E+01   1.35504E-03
  2.80000E+01   1.33776E-03
  2.90000E+01   1.32240E-03
  3.00000E+01   1.30981E-03
  3.50000E+01   1.26404E-03
  4.00000E+01   1.23654E-03
  4.50000E+01   1.21703E-03
  5.00000E+01   1.19354E-03
  6.00000E+01   1.13049E-03
  7.00000E+01   1.03429E-03
  8.00000E+01   9.52049E-04
  9.00000E+01   8.85384E-04
  1.00000E+02   8.29385E-04
  1.25000E+02   7.23756E-04
  1.50000E+02   6.47882E-04
  2.00000E+02   5.30925E-04
  2.50000E+02   4.24038E-04
  3.00000E+02   3.39860E-04
  3.50000E+02   2.93376E-04
  4.00000E+02   2.64221E-04
  4.50000E+02   2.36613E-04
  5.00000E+02   2.15348E-04
