# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=21) -> e + D2(I1Pg) (dissociative excitation)
# Initial-state energy: -1.00001 Hartrees
#
# Threshold: 1.02045E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.02045E+01   0.00000E+00
  1.05000E+01   1.85514E-03
  1.15000E+01   1.55991E-02
  1.20000E+01   2.34766E-02
  1.25000E+01   3.10530E-02
  1.30000E+01   3.81186E-02
  1.35000E+01   4.46142E-02
  1.40000E+01   5.05334E-02
  1.45000E+01   5.58948E-02
  1.50000E+01   6.07483E-02
  1.55000E+01   6.51066E-02
  1.60000E+01   6.90268E-02
  1.65000E+01   7.25402E-02
  1.70000E+01   7.56848E-02
  1.75000E+01   7.84973E-02
  1.80000E+01   8.10108E-02
  1.85000E+01   8.32549E-02
  1.90000E+01   8.52556E-02
  1.95000E+01   8.70366E-02
  2.00000E+01   8.86188E-02
  2.10000E+01   9.12609E-02
  2.20000E+01   9.33113E-02
  2.30000E+01   9.48744E-02
  2.40000E+01   9.60350E-02
  2.50000E+01   9.68624E-02
  2.60000E+01   9.74127E-02
  2.70000E+01   9.77319E-02
  2.80000E+01   9.78595E-02
  2.90000E+01   9.78262E-02
  3.00000E+01   9.76588E-02
  3.50000E+01   9.54709E-02
  4.00000E+01   9.20992E-02
  4.50000E+01   8.83283E-02
  5.00000E+01   8.45156E-02
  6.00000E+01   7.73214E-02
  7.00000E+01   7.09693E-02
  8.00000E+01   6.54558E-02
  9.00000E+01   6.06754E-02
  1.00000E+02   5.65113E-02
  1.25000E+02   4.81638E-02
  1.50000E+02   4.19076E-02
  2.00000E+02   3.31530E-02
  2.50000E+02   2.72910E-02
  3.00000E+02   2.30619E-02
  3.50000E+02   1.98440E-02
  4.00000E+02   1.72956E-02
  4.50000E+02   1.52139E-02
  5.00000E+02   1.34707E-02
