# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=3) -> e + D2(J1Dg) (sum over all final vibrational levels)
# Initial-state energy: -1.12811 Hartrees
#
# Threshold: 1.29058E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.29058E+01   0.00000E+00
  1.30000E+01   2.10677E-03
  1.35000E+01   8.56535E-03
  1.40000E+01   1.34532E-02
  1.45000E+01   1.71747E-02
  1.50000E+01   2.02317E-02
  1.55000E+01   2.27323E-02
  1.60000E+01   2.58415E-02
  1.65000E+01   2.86539E-02
  1.70000E+01   3.08142E-02
  1.75000E+01   3.26822E-02
  1.80000E+01   3.40481E-02
  1.85000E+01   3.48738E-02
  1.90000E+01   3.54696E-02
  1.95000E+01   3.58792E-02
  2.00000E+01   3.61790E-02
  2.10000E+01   3.65278E-02
  2.20000E+01   3.65557E-02
  2.30000E+01   3.64007E-02
  2.40000E+01   3.61143E-02
  2.50000E+01   3.57390E-02
  2.60000E+01   3.52979E-02
  2.70000E+01   3.48161E-02
  2.80000E+01   3.43037E-02
  2.90000E+01   3.37745E-02
  3.00000E+01   3.32312E-02
  3.50000E+01   3.05308E-02
  4.00000E+01   2.79985E-02
  4.50000E+01   2.57708E-02
  5.00000E+01   2.38220E-02
  6.00000E+01   2.05911E-02
  7.00000E+01   1.80633E-02
  8.00000E+01   1.60498E-02
  9.00000E+01   1.44231E-02
  1.00000E+02   1.30763E-02
  1.25000E+02   1.05641E-02
  1.50000E+02   8.82897E-03
  2.00000E+02   6.60391E-03
  2.50000E+02   5.24393E-03
  3.00000E+02   4.33055E-03
  3.50000E+02   3.67716E-03
  4.00000E+02   3.18761E-03
  4.50000E+02   2.80873E-03
  5.00000E+02   2.50678E-03
