# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=4) -> e + D2(EF1Sg) (sum over all final vibrational levels)
# Initial-state energy: -1.11607 Hartrees
#
# Threshold: 1.09369E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.09369E+01   0.00000E+00
  1.15000E+01   2.13293E-03
  1.20000E+01   1.40136E-02
  1.25000E+01   3.54098E-02
  1.30000E+01   6.80892E-02
  1.35000E+01   9.86779E-02
  1.40000E+01   1.21649E-01
  1.45000E+01   1.40567E-01
  1.50000E+01   1.54395E-01
  1.55000E+01   1.64277E-01
  1.60000E+01   1.74260E-01
  1.65000E+01   1.84722E-01
  1.70000E+01   1.92976E-01
  1.75000E+01   1.97798E-01
  1.80000E+01   1.98824E-01
  1.85000E+01   1.97705E-01
  1.90000E+01   1.95271E-01
  1.95000E+01   1.92644E-01
  2.00000E+01   1.90604E-01
  2.10000E+01   1.88199E-01
  2.20000E+01   1.86560E-01
  2.30000E+01   1.84504E-01
  2.40000E+01   1.82183E-01
  2.50000E+01   1.79886E-01
  2.60000E+01   1.77731E-01
  2.70000E+01   1.75640E-01
  2.80000E+01   1.73766E-01
  2.90000E+01   1.72128E-01
  3.00000E+01   1.70912E-01
  3.50000E+01   1.66851E-01
  4.00000E+01   1.65048E-01
  4.50000E+01   1.65352E-01
  5.00000E+01   1.65908E-01
  6.00000E+01   1.62930E-01
  7.00000E+01   1.52924E-01
  8.00000E+01   1.43610E-01
  9.00000E+01   1.35926E-01
  1.00000E+02   1.29326E-01
  1.25000E+02   1.16143E-01
  1.50000E+02   1.05283E-01
  2.00000E+02   8.67956E-02
  2.50000E+02   6.94435E-02
  3.00000E+02   5.57489E-02
  3.50000E+02   4.81993E-02
  4.00000E+02   4.35676E-02
  4.50000E+02   3.91784E-02
  5.00000E+02   3.56378E-02
