# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=4) -> e + D2(I1Pg) (sum over all bound final vibrational levels)
# Initial-state energy: -1.11607 Hartrees
#
# Threshold: 1.25216E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.25216E+01   0.00000E+00
  1.30000E+01   7.57173E-04
  1.35000E+01   3.92437E-03
  1.40000E+01   7.95465E-03
  1.45000E+01   1.17912E-02
  1.50000E+01   1.51073E-02
  1.55000E+01   1.79233E-02
  1.60000E+01   2.02750E-02
  1.65000E+01   2.22294E-02
  1.70000E+01   2.38498E-02
  1.75000E+01   2.51951E-02
  1.80000E+01   2.63114E-02
  1.85000E+01   2.72359E-02
  1.90000E+01   2.79999E-02
  1.95000E+01   2.86279E-02
  2.00000E+01   2.91333E-02
  2.10000E+01   2.98477E-02
  2.20000E+01   3.02683E-02
  2.30000E+01   3.04718E-02
  2.40000E+01   3.05144E-02
  2.50000E+01   3.04357E-02
  2.60000E+01   3.02660E-02
  2.70000E+01   3.00372E-02
  2.80000E+01   2.97581E-02
  2.90000E+01   2.94427E-02
  3.00000E+01   2.90969E-02
  3.50000E+01   2.71824E-02
  4.00000E+01   2.52516E-02
  4.50000E+01   2.34664E-02
  5.00000E+01   2.18626E-02
  6.00000E+01   1.91655E-02
  7.00000E+01   1.70261E-02
  8.00000E+01   1.53039E-02
  9.00000E+01   1.38943E-02
  1.00000E+02   1.27219E-02
  1.25000E+02   1.05112E-02
  1.50000E+02   8.96470E-03
  2.00000E+02   6.94954E-03
  2.50000E+02   5.69381E-03
  3.00000E+02   4.83150E-03
  3.50000E+02   4.19642E-03
  4.00000E+02   3.70284E-03
  4.50000E+02   3.29690E-03
  5.00000E+02   2.94726E-03
