# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=4) -> e + D2(b3Su) (dissociative excitation)
# Initial-state energy: -1.11607 Hartrees
#
# Threshold: 3.15809E+00 eV
#
# Energy (eV)   CS (a_0^2)
  3.15809E+00   0.00000E+00
  3.50000E+00   2.28978E-07
  4.00000E+00   1.08925E-06
  4.50000E+00   2.68490E-03
  5.00000E+00   2.14380E-02
  5.50000E+00   1.89046E-01
  6.00000E+00   7.26816E-01
  6.50000E+00   1.15216E+00
  7.00000E+00   1.48040E+00
  7.50000E+00   1.77168E+00
  8.00000E+00   1.92904E+00
  8.50000E+00   2.11642E+00
  9.00000E+00   2.16226E+00
  9.50000E+00   2.16049E+00
  1.00000E+01   2.14399E+00
  1.05000E+01   2.12543E+00
  1.10000E+01   2.08176E+00
  1.15000E+01   2.00629E+00
  1.20000E+01   1.93447E+00
  1.25000E+01   1.91890E+00
  1.30000E+01   1.90143E+00
  1.35000E+01   1.84333E+00
  1.40000E+01   1.70090E+00
  1.45000E+01   1.58717E+00
  1.50000E+01   1.49086E+00
  1.55000E+01   1.36573E+00
  1.60000E+01   1.31500E+00
  1.65000E+01   1.27742E+00
  1.70000E+01   1.19177E+00
  1.75000E+01   1.08223E+00
  1.80000E+01   1.00729E+00
  1.85000E+01   9.57155E-01
  1.90000E+01   9.22031E-01
  1.95000E+01   8.92123E-01
  2.00000E+01   8.57638E-01
  2.10000E+01   7.82144E-01
  2.20000E+01   7.15169E-01
  2.30000E+01   6.55745E-01
  2.40000E+01   6.02904E-01
  2.50000E+01   5.55678E-01
  2.60000E+01   5.13099E-01
  2.70000E+01   4.74198E-01
  2.80000E+01   4.38008E-01
  2.90000E+01   4.03560E-01
  3.00000E+01   3.69886E-01
  3.50000E+01   2.50567E-01
  4.00000E+01   1.85453E-01
  4.50000E+01   1.38248E-01
  5.00000E+01   1.10190E-01
  6.00000E+01   7.72243E-02
  7.00000E+01   5.62391E-02
  8.00000E+01   4.67437E-02
  9.00000E+01   3.57262E-02
  1.00000E+02   2.63432E-02
  1.25000E+02   1.24597E-02
  1.50000E+02   6.71039E-03
