# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=5) -> e + D2(C1Pu) (dissociative excitation)
# Initial-state energy: -1.10456 Hartrees
#
# Threshold: 1.30494E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.30494E+01   0.00000E+00
  1.35000E+01   8.99272E-05
  1.40000E+01   9.55739E-04
  1.45000E+01   2.63336E-03
  1.50000E+01   7.12725E-03
  1.55000E+01   1.41450E-02
  1.60000E+01   2.14491E-02
  1.65000E+01   2.86051E-02
  1.70000E+01   3.55722E-02
  1.75000E+01   4.23396E-02
  1.80000E+01   4.88813E-02
  1.85000E+01   5.52357E-02
  1.90000E+01   6.13839E-02
  1.95000E+01   6.73358E-02
  2.00000E+01   7.30920E-02
  2.10000E+01   8.40580E-02
  2.20000E+01   9.43363E-02
  2.30000E+01   1.03974E-01
  2.40000E+01   1.13015E-01
  2.50000E+01   1.21500E-01
  2.60000E+01   1.29468E-01
  2.70000E+01   1.36953E-01
  2.80000E+01   1.43988E-01
  2.90000E+01   1.50600E-01
  3.00000E+01   1.56817E-01
  3.50000E+01   1.82811E-01
  4.00000E+01   2.01967E-01
  4.50000E+01   2.16005E-01
  5.00000E+01   2.26174E-01
  6.00000E+01   2.38267E-01
  7.00000E+01   2.43078E-01
  8.00000E+01   2.43418E-01
  9.00000E+01   2.41001E-01
  1.00000E+02   2.36903E-01
  1.25000E+02   2.23214E-01
  1.50000E+02   2.08286E-01
  2.00000E+02   1.81084E-01
  2.50000E+02   1.59284E-01
  3.00000E+02   1.42156E-01
  3.50000E+02   1.28563E-01
  4.00000E+02   1.17499E-01
  4.50000E+02   1.08213E-01
  5.00000E+02   1.00172E-01
