# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=5) -> e + D2(a3Sg) (dissociative excitation)
# Initial-state energy: -1.10456 Hartrees
#
# Threshold: 1.30494E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.30494E+01   0.00000E+00
  1.35000E+01   4.14979E-03
  1.40000E+01   1.92966E-02
  1.45000E+01   4.40885E-02
  1.50000E+01   5.72380E-02
  1.55000E+01   5.61468E-02
  1.60000E+01   5.62995E-02
  1.65000E+01   5.68751E-02
  1.70000E+01   5.65487E-02
  1.75000E+01   5.86627E-02
  1.80000E+01   5.69097E-02
  1.85000E+01   5.53959E-02
  1.90000E+01   5.37190E-02
  1.95000E+01   5.17653E-02
  2.00000E+01   4.96231E-02
  2.10000E+01   4.49911E-02
  2.20000E+01   4.05382E-02
  2.30000E+01   3.64308E-02
  2.40000E+01   3.27206E-02
  2.50000E+01   2.94059E-02
  2.60000E+01   2.64624E-02
  2.70000E+01   2.38548E-02
  2.80000E+01   2.15470E-02
  2.90000E+01   1.95030E-02
  3.00000E+01   1.76905E-02
  3.50000E+01   1.11991E-02
  4.00000E+01   7.49382E-03
  4.50000E+01   5.29074E-03
  5.00000E+01   3.87363E-03
  6.00000E+01   2.25590E-03
  7.00000E+01   1.42680E-03
  8.00000E+01   9.58852E-04
  9.00000E+01   6.75030E-04
  1.00000E+02   4.93009E-04
  1.25000E+02   2.53237E-04
  1.50000E+02   1.46854E-04
