# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=6) -> e + D2(g3Sg) (dissociative excitation)
# Initial-state energy: -1.09356 Hartrees
#
# Threshold: 1.46399E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.46399E+01   0.00000E+00
  1.50000E+01   5.77956E-05
  1.55000E+01   1.43594E-04
  1.60000E+01   6.53942E-04
  1.65000E+01   8.24587E-04
  1.70000E+01   1.29219E-03
  1.75000E+01   1.84295E-03
  1.80000E+01   2.22615E-03
  1.85000E+01   2.37109E-03
  1.90000E+01   2.44479E-03
  1.95000E+01   2.45572E-03
  2.00000E+01   2.41924E-03
  2.10000E+01   2.19102E-03
  2.20000E+01   1.99581E-03
  2.30000E+01   1.81247E-03
  2.40000E+01   1.71341E-03
  2.50000E+01   1.55628E-03
  2.60000E+01   1.41537E-03
  2.70000E+01   1.28958E-03
  2.80000E+01   1.17727E-03
  2.90000E+01   1.07690E-03
  3.00000E+01   9.87123E-04
  3.50000E+01   6.58368E-04
  4.00000E+01   4.59469E-04
  4.50000E+01   3.32970E-04
  5.00000E+01   2.48925E-04
  6.00000E+01   1.49949E-04
  7.00000E+01   9.86911E-05
  8.00000E+01   7.34175E-05
  9.00000E+01   6.20630E-05
  1.00000E+02   5.67414E-05
  1.25000E+02   6.07706E-05
  1.50000E+02   7.00589E-05
