# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=7) -> e + D2(B1Su,vf=20)
# Initial-state energy: -1.08307 Hartrees
# Final-state energy:   -0.68304 Hartrees
# Threshold: 1.08855E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.08855E+01   0.00000E+00
  1.15000E+01   4.56335E-05
  1.20000E+01   5.36069E-05
  1.25000E+01   6.53491E-05
  1.30000E+01   7.65333E-05
  1.35000E+01   8.58792E-05
  1.40000E+01   9.35897E-05
  1.45000E+01   1.00705E-04
  1.50000E+01   1.08162E-04
  1.55000E+01   1.15942E-04
  1.60000E+01   1.23861E-04
  1.65000E+01   1.31669E-04
  1.70000E+01   1.39395E-04
  1.75000E+01   1.47004E-04
  1.80000E+01   1.54489E-04
  1.85000E+01   1.61859E-04
  1.90000E+01   1.68976E-04
  1.95000E+01   1.75898E-04
  2.00000E+01   1.82675E-04
  2.10000E+01   1.95718E-04
  2.20000E+01   2.08117E-04
  2.30000E+01   2.19809E-04
  2.40000E+01   2.31010E-04
  2.50000E+01   2.41645E-04
  2.60000E+01   2.51733E-04
  2.70000E+01   2.61338E-04
  2.80000E+01   2.70396E-04
  2.90000E+01   2.79077E-04
  3.00000E+01   2.87398E-04
  3.50000E+01   3.22229E-04
  4.00000E+01   3.48284E-04
  4.50000E+01   3.67795E-04
  5.00000E+01   3.81686E-04
  6.00000E+01   3.97132E-04
  7.00000E+01   4.01182E-04
  8.00000E+01   3.97930E-04
  9.00000E+01   3.90150E-04
  1.00000E+02   3.79755E-04
  1.25000E+02   3.48522E-04
  1.50000E+02   3.17139E-04
  2.00000E+02   2.64387E-04
  2.50000E+02   2.25836E-04
  3.00000E+02   1.98120E-04
  3.50000E+02   1.77924E-04
  4.00000E+02   1.62441E-04
  4.50000E+02   1.49668E-04
  5.00000E+02   1.38205E-04
