# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=7) -> e + D2(D1Pu) (sum over all bound final vibrational levels)
# Initial-state energy: -1.08307 Hartrees
#
# Threshold: 1.17419E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.17419E+01   0.00000E+00
  1.20000E+01   2.32096E-05
  1.25000E+01   3.18066E-03
  1.30000E+01   1.01246E-02
  1.35000E+01   1.85466E-02
  1.40000E+01   2.74285E-02
  1.45000E+01   3.62735E-02
  1.50000E+01   4.47634E-02
  1.55000E+01   5.28157E-02
  1.60000E+01   6.05215E-02
  1.65000E+01   6.78890E-02
  1.70000E+01   7.49383E-02
  1.75000E+01   8.16800E-02
  1.80000E+01   8.81468E-02
  1.85000E+01   9.43646E-02
  1.90000E+01   1.00313E-01
  1.95000E+01   1.06055E-01
  2.00000E+01   1.11595E-01
  2.10000E+01   1.22065E-01
  2.20000E+01   1.31802E-01
  2.30000E+01   1.40930E-01
  2.40000E+01   1.49461E-01
  2.50000E+01   1.57444E-01
  2.60000E+01   1.64930E-01
  2.70000E+01   1.71955E-01
  2.80000E+01   1.78550E-01
  2.90000E+01   1.84749E-01
  3.00000E+01   1.90577E-01
  3.50000E+01   2.14908E-01
  4.00000E+01   2.32825E-01
  4.50000E+01   2.45931E-01
  5.00000E+01   2.55405E-01
  6.00000E+01   2.66340E-01
  7.00000E+01   2.70029E-01
  8.00000E+01   2.69174E-01
  9.00000E+01   2.65449E-01
  1.00000E+02   2.59915E-01
  1.25000E+02   2.42431E-01
  1.50000E+02   2.23795E-01
  2.00000E+02   1.90560E-01
  2.50000E+02   1.64863E-01
  3.00000E+02   1.45557E-01
  3.50000E+02   1.30863E-01
  4.00000E+02   1.19245E-01
  4.50000E+02   1.09639E-01
  5.00000E+02   1.01211E-01
