# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=7) -> e + D2(e3Su) (dissociative excitation)
# Initial-state energy: -1.08307 Hartrees
#
# Threshold: 1.24647E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.24647E+01   0.00000E+00
  1.25000E+01   1.51449E-06
  1.30000E+01   2.19930E-04
  1.35000E+01   3.05233E-03
  1.40000E+01   6.32626E-03
  1.45000E+01   9.76048E-03
  1.50000E+01   1.50428E-02
  1.55000E+01   1.93709E-02
  1.60000E+01   2.40734E-02
  1.65000E+01   2.47328E-02
  1.70000E+01   2.69002E-02
  1.75000E+01   2.96727E-02
  1.80000E+01   3.16922E-02
  1.85000E+01   3.16291E-02
  1.90000E+01   3.12864E-02
  1.95000E+01   3.07078E-02
  2.00000E+01   3.00448E-02
  2.10000E+01   2.84018E-02
  2.20000E+01   2.66608E-02
  2.30000E+01   2.48620E-02
  2.40000E+01   2.31235E-02
  2.50000E+01   2.14488E-02
  2.60000E+01   1.98790E-02
  2.70000E+01   1.84222E-02
  2.80000E+01   1.70787E-02
  2.90000E+01   1.58443E-02
  3.00000E+01   1.47126E-02
  3.50000E+01   1.03350E-02
  4.00000E+01   7.48794E-03
  4.50000E+01   5.58365E-03
  5.00000E+01   4.26981E-03
  6.00000E+01   2.65680E-03
  7.00000E+01   1.76552E-03
  8.00000E+01   1.23350E-03
  9.00000E+01   8.96355E-04
  1.00000E+02   6.72286E-04
  1.25000E+02   3.63592E-04
  1.50000E+02   2.19040E-04
