# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=8) -> e + D2(D1Pu) (sum over all final vibrational levels)
# Initial-state energy: -1.07311 Hartrees
#
# Threshold: 1.14709E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.14709E+01   0.00000E+00
  1.15000E+01   3.01541E-12
  1.20000E+01   1.55383E-04
  1.25000E+01   4.98696E-03
  1.30000E+01   1.26977E-02
  1.35000E+01   2.15949E-02
  1.40000E+01   3.08550E-02
  1.45000E+01   4.00718E-02
  1.50000E+01   4.92175E-02
  1.55000E+01   5.82727E-02
  1.60000E+01   6.69807E-02
  1.65000E+01   7.54693E-02
  1.70000E+01   8.38588E-02
  1.75000E+01   9.21350E-02
  1.80000E+01   1.00210E-01
  1.85000E+01   1.08134E-01
  1.90000E+01   1.15771E-01
  1.95000E+01   1.23159E-01
  2.00000E+01   1.30308E-01
  2.10000E+01   1.43930E-01
  2.20000E+01   1.56696E-01
  2.30000E+01   1.68688E-01
  2.40000E+01   1.79942E-01
  2.50000E+01   1.90517E-01
  2.60000E+01   2.00464E-01
  2.70000E+01   2.09833E-01
  2.80000E+01   2.18655E-01
  2.90000E+01   2.26978E-01
  3.00000E+01   2.34829E-01
  3.50000E+01   2.67913E-01
  4.00000E+01   2.92683E-01
  4.50000E+01   3.11117E-01
  5.00000E+01   3.24650E-01
  6.00000E+01   3.41008E-01
  7.00000E+01   3.47518E-01
  8.00000E+01   3.47705E-01
  9.00000E+01   3.43855E-01
  1.00000E+02   3.37423E-01
  1.25000E+02   3.15813E-01
  1.50000E+02   2.91980E-01
  2.00000E+02   2.48610E-01
  2.50000E+02   2.14719E-01
  3.00000E+02   1.89224E-01
  3.50000E+02   1.69878E-01
  4.00000E+02   1.54763E-01
  4.50000E+02   1.42361E-01
  5.00000E+02   1.31580E-01
