# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=8) -> e + D2(D1Pu,vf=23)
# Initial-state energy: -1.07311 Hartrees
# Final-state energy:   -0.55606 Hartrees
# Threshold: 1.40697E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.40697E+01   0.00000E+00
  1.45000E+01   1.20972E-07
  1.50000E+01   1.59084E-07
  1.55000E+01   2.34162E-07
  1.60000E+01   3.09786E-07
  1.65000E+01   3.92238E-07
  1.70000E+01   4.78849E-07
  1.75000E+01   5.67142E-07
  1.80000E+01   6.55066E-07
  1.85000E+01   7.44158E-07
  1.90000E+01   8.33236E-07
  1.95000E+01   9.23012E-07
  2.00000E+01   1.01854E-06
  2.10000E+01   1.17864E-06
  2.20000E+01   1.31948E-06
  2.30000E+01   1.46477E-06
  2.40000E+01   1.60607E-06
  2.50000E+01   1.73415E-06
  2.60000E+01   1.85519E-06
  2.70000E+01   1.96737E-06
  2.80000E+01   2.07103E-06
  2.90000E+01   2.16553E-06
  3.00000E+01   2.24980E-06
  3.50000E+01   2.56620E-06
  4.00000E+01   2.71330E-06
  4.50000E+01   2.74312E-06
  5.00000E+01   2.72866E-06
  6.00000E+01   2.57228E-06
  7.00000E+01   2.35440E-06
  8.00000E+01   2.13976E-06
  9.00000E+01   1.94532E-06
  1.00000E+02   1.76870E-06
  1.25000E+02   1.46366E-06
  1.50000E+02   1.30045E-06
  2.00000E+02   1.21963E-06
  2.50000E+02   1.27267E-06
  3.00000E+02   1.34613E-06
  3.50000E+02   1.39635E-06
  4.00000E+02   1.35412E-06
  4.50000E+02   1.22776E-06
  5.00000E+02   1.01598E-06
