# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=9) -> e + D2(Bp1Su) (sum over all final vibrational levels)
# Initial-state energy: -1.06367 Hartrees
#
# Threshold: 1.09151E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.09151E+01   0.00000E+00
  1.15000E+01   2.41304E-02
  1.20000E+01   5.09347E-02
  1.25000E+01   7.17176E-02
  1.30000E+01   8.93410E-02
  1.35000E+01   1.04617E-01
  1.40000E+01   1.18406E-01
  1.45000E+01   1.30437E-01
  1.50000E+01   1.41465E-01
  1.55000E+01   1.51475E-01
  1.60000E+01   1.60534E-01
  1.65000E+01   1.68887E-01
  1.70000E+01   1.76603E-01
  1.75000E+01   1.83790E-01
  1.80000E+01   1.90519E-01
  1.85000E+01   1.96822E-01
  1.90000E+01   2.02711E-01
  1.95000E+01   2.08225E-01
  2.00000E+01   2.13396E-01
  2.10000E+01   2.22844E-01
  2.20000E+01   2.31206E-01
  2.30000E+01   2.38634E-01
  2.40000E+01   2.45240E-01
  2.50000E+01   2.51123E-01
  2.60000E+01   2.56364E-01
  2.70000E+01   2.61034E-01
  2.80000E+01   2.65188E-01
  2.90000E+01   2.68887E-01
  3.00000E+01   2.72168E-01
  3.50000E+01   2.83654E-01
  4.00000E+01   2.89216E-01
  4.50000E+01   2.90977E-01
  5.00000E+01   2.90248E-01
  6.00000E+01   2.84272E-01
  7.00000E+01   2.75112E-01
  8.00000E+01   2.64802E-01
  9.00000E+01   2.54246E-01
  1.00000E+02   2.43892E-01
  1.25000E+02   2.20039E-01
  1.50000E+02   1.99572E-01
  2.00000E+02   1.67456E-01
  2.50000E+02   1.43916E-01
  3.00000E+02   1.25957E-01
  3.50000E+02   1.11935E-01
  4.00000E+02   1.00714E-01
  4.50000E+02   9.15392E-02
  5.00000E+02   8.38894E-02
