# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=9) -> e + D2(GK1Sg) (sum over all final vibrational levels)
# Initial-state energy: -1.06367 Hartrees
#
# Threshold: 1.10098E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.10098E+01   0.00000E+00
  1.15000E+01   7.52191E-03
  1.20000E+01   2.05364E-02
  1.25000E+01   3.37116E-02
  1.30000E+01   4.55407E-02
  1.35000E+01   5.61464E-02
  1.40000E+01   6.51170E-02
  1.45000E+01   7.22335E-02
  1.50000E+01   7.80637E-02
  1.55000E+01   8.27808E-02
  1.60000E+01   8.66549E-02
  1.65000E+01   9.01164E-02
  1.70000E+01   9.32045E-02
  1.75000E+01   9.59374E-02
  1.80000E+01   9.82149E-02
  1.85000E+01   9.99745E-02
  1.90000E+01   1.01289E-01
  1.95000E+01   1.02151E-01
  2.00000E+01   1.02660E-01
  2.10000E+01   1.02918E-01
  2.20000E+01   1.02496E-01
  2.30000E+01   1.01649E-01
  2.40000E+01   1.00548E-01
  2.50000E+01   9.92712E-02
  2.60000E+01   9.78941E-02
  2.70000E+01   9.64745E-02
  2.80000E+01   9.50440E-02
  2.90000E+01   9.36307E-02
  3.00000E+01   9.22389E-02
  3.50000E+01   8.59184E-02
  4.00000E+01   8.08281E-02
  4.50000E+01   7.67221E-02
  5.00000E+01   7.33109E-02
  6.00000E+01   6.77535E-02
  7.00000E+01   6.31264E-02
  8.00000E+01   5.90295E-02
  9.00000E+01   5.53044E-02
  1.00000E+02   5.18851E-02
  1.25000E+02   4.44963E-02
  1.50000E+02   3.85635E-02
  2.00000E+02   3.00925E-02
  2.50000E+02   2.46653E-02
  3.00000E+02   2.09150E-02
  3.50000E+02   1.81251E-02
  4.00000E+02   1.57670E-02
  4.50000E+02   1.41219E-02
  5.00000E+02   1.26839E-02
