# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=9) -> e + D2(H1Sg,vf=79)
# Initial-state energy: -1.06367 Hartrees
# Final-state energy:   -0.56325 Hartrees
# Threshold: 1.36170E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.36170E+01   0.00000E+00
  1.40000E+01   1.16448E-05
  1.45000E+01   2.77911E-05
  1.50000E+01   4.08170E-05
  1.55000E+01   5.13634E-05
  1.60000E+01   6.02097E-05
  1.65000E+01   6.76356E-05
  1.70000E+01   7.39803E-05
  1.75000E+01   7.95321E-05
  1.80000E+01   8.42722E-05
  1.85000E+01   8.83946E-05
  1.90000E+01   9.20096E-05
  1.95000E+01   9.51856E-05
  2.00000E+01   9.79824E-05
  2.10000E+01   1.02621E-04
  2.20000E+01   1.06228E-04
  2.30000E+01   1.09024E-04
  2.40000E+01   1.11169E-04
  2.50000E+01   1.12774E-04
  2.60000E+01   1.13940E-04
  2.70000E+01   1.14734E-04
  2.80000E+01   1.15478E-04
  2.90000E+01   1.16049E-04
  3.00000E+01   1.16351E-04
  3.50000E+01   1.15287E-04
  4.00000E+01   1.11734E-04
  4.50000E+01   1.07227E-04
  5.00000E+01   1.02106E-04
  6.00000E+01   9.34207E-05
  7.00000E+01   8.52900E-05
  8.00000E+01   7.80971E-05
  9.00000E+01   7.18577E-05
  1.00000E+02   6.64710E-05
  1.25000E+02   5.59677E-05
  1.50000E+02   4.85325E-05
  2.00000E+02   3.91616E-05
  2.50000E+02   3.37798E-05
  3.00000E+02   3.03490E-05
  3.50000E+02   2.78531E-05
  4.00000E+02   2.57730E-05
  4.50000E+02   2.35059E-05
  5.00000E+02   2.08734E-05
