# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=9) -> e + D2(c3Pu,vf=19)
# Initial-state energy: -1.06367 Hartrees
# Final-state energy:   -0.63389 Hartrees
# Threshold: 1.16947E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.16947E+01   0.00000E+00
  1.20000E+01   5.35611E-04
  1.25000E+01   9.57036E-04
  1.30000E+01   1.15887E-03
  1.35000E+01   1.26053E-03
  1.40000E+01   1.30438E-03
  1.45000E+01   1.31238E-03
  1.50000E+01   1.29768E-03
  1.55000E+01   1.26841E-03
  1.60000E+01   1.23018E-03
  1.65000E+01   1.18599E-03
  1.70000E+01   1.14016E-03
  1.75000E+01   1.10113E-03
  1.80000E+01   1.06035E-03
  1.85000E+01   1.01872E-03
  1.90000E+01   9.76668E-04
  1.95000E+01   9.35823E-04
  2.00000E+01   8.95988E-04
  2.10000E+01   8.20025E-04
  2.20000E+01   7.49712E-04
  2.30000E+01   6.85710E-04
  2.40000E+01   6.27698E-04
  2.50000E+01   5.75332E-04
  2.60000E+01   5.28129E-04
  2.70000E+01   4.85602E-04
  2.80000E+01   4.47286E-04
  2.90000E+01   4.12622E-04
  3.00000E+01   3.81333E-04
  3.50000E+01   2.63932E-04
  4.00000E+01   1.89735E-04
  4.50000E+01   1.40827E-04
  5.00000E+01   1.07385E-04
  6.00000E+01   6.67021E-05
  7.00000E+01   4.42995E-05
  8.00000E+01   3.09401E-05
  9.00000E+01   2.24856E-05
  1.00000E+02   1.68608E-05
  1.25000E+02   9.13503E-06
  1.50000E+02   5.50583E-06
