# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=9) -> e + D2(h3Sg) (sum over all final vibrational levels)
# Initial-state energy: -1.06367 Hartrees
#
# Threshold: 1.10603E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.10603E+01   0.00000E+00
  1.15000E+01   3.08131E-04
  1.20000E+01   4.01575E-03
  1.25000E+01   1.01253E-02
  1.30000E+01   1.44775E-02
  1.35000E+01   2.05231E-02
  1.40000E+01   2.66625E-02
  1.45000E+01   3.27252E-02
  1.50000E+01   3.75902E-02
  1.55000E+01   3.92423E-02
  1.60000E+01   4.01587E-02
  1.65000E+01   4.33155E-02
  1.70000E+01   4.65745E-02
  1.75000E+01   4.57213E-02
  1.80000E+01   4.36464E-02
  1.85000E+01   4.22849E-02
  1.90000E+01   4.08272E-02
  1.95000E+01   3.92359E-02
  2.00000E+01   3.75969E-02
  2.10000E+01   3.42057E-02
  2.20000E+01   3.08400E-02
  2.30000E+01   2.78028E-02
  2.40000E+01   2.51425E-02
  2.50000E+01   2.27580E-02
  2.60000E+01   2.06632E-02
  2.70000E+01   1.88407E-02
  2.80000E+01   1.71825E-02
  2.90000E+01   1.57309E-02
  3.00000E+01   1.44398E-02
  3.50000E+01   9.70367E-03
  4.00000E+01   6.83748E-03
  4.50000E+01   5.00793E-03
  5.00000E+01   3.78102E-03
  6.00000E+01   2.31503E-03
  7.00000E+01   1.52370E-03
  8.00000E+01   1.05829E-03
  9.00000E+01   7.66232E-04
  1.00000E+02   5.73305E-04
  1.25000E+02   3.08583E-04
  1.50000E+02   1.85429E-04
