# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=9) -> e + D2(i3Pg,vf=3)
# Initial-state energy: -1.06367 Hartrees
# Final-state energy:   -0.63600 Hartrees
# Threshold: 1.16374E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.16374E+01   0.00000E+00
  1.20000E+01   3.57211E-03
  1.25000E+01   5.97642E-03
  1.30000E+01   7.22298E-03
  1.35000E+01   7.85203E-03
  1.40000E+01   8.20942E-03
  1.45000E+01   8.66652E-03
  1.50000E+01   8.85663E-03
  1.55000E+01   8.88109E-03
  1.60000E+01   8.79668E-03
  1.65000E+01   8.63911E-03
  1.70000E+01   8.43240E-03
  1.75000E+01   8.19353E-03
  1.80000E+01   7.93465E-03
  1.85000E+01   7.66441E-03
  1.90000E+01   7.38813E-03
  1.95000E+01   7.11156E-03
  2.00000E+01   6.83913E-03
  2.10000E+01   6.30980E-03
  2.20000E+01   5.81233E-03
  2.30000E+01   5.35260E-03
  2.40000E+01   4.93007E-03
  2.50000E+01   4.54390E-03
  2.60000E+01   4.19216E-03
  2.70000E+01   3.87162E-03
  2.80000E+01   3.58103E-03
  2.90000E+01   3.31529E-03
  3.00000E+01   3.07379E-03
  3.50000E+01   2.15112E-03
  4.00000E+01   1.55269E-03
  4.50000E+01   1.14366E-03
  5.00000E+01   9.00067E-04
  6.00000E+01   5.81528E-04
  7.00000E+01   3.95851E-04
  8.00000E+01   2.81479E-04
  9.00000E+01   2.07407E-04
  1.00000E+02   1.57329E-04
  1.25000E+02   8.69650E-05
  1.50000E+02   5.32300E-05
