# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=9) -> e + D2(j3Dg) (dissociative excitation)
# Initial-state energy: -1.06367 Hartrees
#
# Threshold: 1.38264E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.38264E+01   0.00000E+00
  1.40000E+01   7.41419E-06
  1.45000E+01   1.03147E-04
  1.50000E+01   4.36692E-04
  1.55000E+01   8.08125E-04
  1.60000E+01   1.26178E-03
  1.65000E+01   2.25620E-03
  1.70000E+01   2.60487E-03
  1.75000E+01   2.95428E-03
  1.80000E+01   3.06462E-03
  1.85000E+01   3.46866E-03
  1.90000E+01   3.40316E-03
  1.95000E+01   3.31106E-03
  2.00000E+01   3.19180E-03
  2.10000E+01   2.94589E-03
  2.20000E+01   2.69949E-03
  2.30000E+01   2.46556E-03
  2.40000E+01   2.25126E-03
  2.50000E+01   2.06032E-03
  2.60000E+01   1.88495E-03
  2.70000E+01   1.72626E-03
  2.80000E+01   1.58339E-03
  2.90000E+01   1.45498E-03
  3.00000E+01   1.33954E-03
  3.50000E+01   9.11319E-04
  4.00000E+01   6.46022E-04
  4.50000E+01   4.74359E-04
  5.00000E+01   3.58599E-04
  6.00000E+01   2.19606E-04
  7.00000E+01   1.44347E-04
  8.00000E+01   1.00054E-04
  9.00000E+01   7.22728E-05
  1.00000E+02   5.39527E-05
  1.25000E+02   2.89407E-05
  1.50000E+02   1.73423E-05
