# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=9) -> e + D2(j3Dg,vf=1)
# Initial-state energy: -1.06367 Hartrees
# Final-state energy:   -0.64663 Hartrees
# Threshold: 1.13482E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.13482E+01   0.00000E+00
  1.15000E+01   2.33883E-05
  1.20000E+01   3.62936E-05
  1.25000E+01   4.05704E-05
  1.30000E+01   4.17801E-05
  1.35000E+01   4.15833E-05
  1.40000E+01   4.08831E-05
  1.45000E+01   3.96227E-05
  1.50000E+01   3.80006E-05
  1.55000E+01   3.69840E-05
  1.60000E+01   3.75477E-05
  1.65000E+01   3.29124E-05
  1.70000E+01   2.96121E-05
  1.75000E+01   2.72327E-05
  1.80000E+01   2.53595E-05
  1.85000E+01   2.38203E-05
  1.90000E+01   2.24582E-05
  1.95000E+01   2.13496E-05
  2.00000E+01   2.04072E-05
  2.10000E+01   1.86075E-05
  2.20000E+01   1.69715E-05
  2.30000E+01   1.55059E-05
  2.40000E+01   1.42061E-05
  2.50000E+01   1.30489E-05
  2.60000E+01   1.20224E-05
  2.70000E+01   1.11050E-05
  2.80000E+01   1.02727E-05
  2.90000E+01   9.53703E-06
  3.00000E+01   8.86929E-06
  3.50000E+01   6.37279E-06
  4.00000E+01   4.78420E-06
  4.50000E+01   3.71877E-06
  5.00000E+01   2.87201E-06
  6.00000E+01   1.80829E-06
  7.00000E+01   1.21978E-06
  8.00000E+01   8.65059E-07
  9.00000E+01   6.37731E-07
  1.00000E+02   4.84085E-07
  1.25000E+02   2.69610E-07
  1.50000E+02   1.65728E-07
