# MCCC calculations of electron scattering on molecular hydrogen and its isotoplogues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., At. Data Nucl. Data Tables (2022).
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vf=18) -> e + D2*(n,v) -> D2(X1Sg,vi=7) (excitation + radiative decay)
# Initial-state energy: -1.00522 Hartrees
# Final-state energy: -1.08307 Hartrees
# Threshold: 6.82289E+00 eV
#
# Energy (eV)   CS (a_0^2)
  6.82289E+00   0.00000E+00
  7.00000E+00   2.07909E-05
  7.50000E+00   2.49524E-06
  8.00000E+00   4.80315E-03
  8.50000E+00   2.99458E-02
  9.00000E+00   4.87097E-02
  9.50000E+00   6.15827E-02
  1.00000E+01   7.23369E-02
  1.05000E+01   8.49819E-02
  1.10000E+01   9.38489E-02
  1.15000E+01   1.01159E-01
  1.20000E+01   1.07180E-01
  1.25000E+01   1.12172E-01
  1.30000E+01   1.16384E-01
  1.35000E+01   1.19885E-01
  1.40000E+01   1.22745E-01
  1.45000E+01   1.25166E-01
  1.50000E+01   1.27092E-01
  1.55000E+01   1.28774E-01
  1.60000E+01   1.30137E-01
  1.65000E+01   1.31392E-01
  1.70000E+01   1.32441E-01
  1.75000E+01   1.33472E-01
  1.80000E+01   1.34366E-01
  1.85000E+01   1.35284E-01
  1.90000E+01   1.36103E-01
  1.95000E+01   1.36961E-01
  2.00000E+01   1.37749E-01
  2.10000E+01   1.39334E-01
  2.20000E+01   1.40873E-01
  2.30000E+01   1.42352E-01
  2.40000E+01   1.43777E-01
  2.50000E+01   1.45046E-01
  2.60000E+01   1.46164E-01
  2.70000E+01   1.47129E-01
  2.80000E+01   1.47947E-01
  2.90000E+01   1.48626E-01
  3.00000E+01   1.49158E-01
  3.50000E+01   1.50091E-01
  4.00000E+01   1.49302E-01
  4.50000E+01   1.48014E-01
  5.00000E+01   1.46319E-01
  6.00000E+01   1.41609E-01
  7.00000E+01   1.36142E-01
  8.00000E+01   1.30376E-01
  9.00000E+01   1.24610E-01
  1.00000E+02   1.19035E-01
  1.25000E+02   1.06386E-01
  1.50000E+02   9.57881E-02
  2.00000E+02   7.97054E-02
  2.50000E+02   6.84204E-02
  3.00000E+02   6.02382E-02
  3.50000E+02   5.40411E-02
  4.00000E+02   4.90219E-02
  4.50000E+02   4.47624E-02
  5.00000E+02   4.08411E-02
