# MCCC calculations of electron scattering on molecular hydrogen and its isotoplogues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., At. Data Nucl. Data Tables (2022).
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=2) -> e + D2*(n,v) -> D2(X1Sg,vf=21) (excitation + radiative decay)
# Initial-state energy: -1.14067 Hartrees
# Final-state energy: -1.00001 Hartrees
# Threshold: 1.05087E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.05087E+01   0.00000E+00
  1.10000E+01   4.70030E-10
  1.15000E+01   8.67746E-07
  1.20000E+01   3.97214E-05
  1.25000E+01   1.02321E-04
  1.30000E+01   1.60266E-04
  1.35000E+01   2.58047E-04
  1.40000E+01   4.45141E-04
  1.45000E+01   7.75009E-04
  1.50000E+01   1.08305E-03
  1.55000E+01   1.38252E-03
  1.60000E+01   1.69571E-03
  1.65000E+01   2.00581E-03
  1.70000E+01   2.28501E-03
  1.75000E+01   2.53760E-03
  1.80000E+01   2.77937E-03
  1.85000E+01   3.01145E-03
  1.90000E+01   3.23191E-03
  1.95000E+01   3.44259E-03
  2.00000E+01   3.64749E-03
  2.10000E+01   4.03846E-03
  2.20000E+01   4.39844E-03
  2.30000E+01   4.73074E-03
  2.40000E+01   5.03742E-03
  2.50000E+01   5.32051E-03
  2.60000E+01   5.58222E-03
  2.70000E+01   5.82443E-03
  2.80000E+01   6.04870E-03
  2.90000E+01   6.25721E-03
  3.00000E+01   6.45105E-03
  3.50000E+01   7.23041E-03
  4.00000E+01   7.76552E-03
  4.50000E+01   8.12347E-03
  5.00000E+01   8.35551E-03
  6.00000E+01   8.57074E-03
  7.00000E+01   8.57978E-03
  8.00000E+01   8.47437E-03
  9.00000E+01   8.30642E-03
  1.00000E+02   8.10465E-03
  1.25000E+02   7.55001E-03
  1.50000E+02   7.00603E-03
  2.00000E+02   6.06520E-03
  2.50000E+02   5.32182E-03
  3.00000E+02   4.73562E-03
  3.50000E+02   4.26835E-03
  4.00000E+02   3.88597E-03
  4.50000E+02   3.56524E-03
  5.00000E+02   3.29426E-03
