# MCCC calculations of electron scattering on molecular hydrogen and its isotoplogues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., At. Data Nucl. Data Tables (2022).
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vf=21) -> e + D2*(n,v) -> D2(X1Sg,vi=2) (excitation + radiative decay)
# Initial-state energy: -1.00001 Hartrees
# Final-state energy: -1.14067 Hartrees
# Threshold: 6.68097E+00 eV
#
# Energy (eV)   CS (a_0^2)
  6.68097E+00   0.00000E+00
  7.00000E+00   1.28820E-07
  7.50000E+00   1.24007E-07
  8.00000E+00   1.54073E-04
  8.50000E+00   1.93741E-03
  9.00000E+00   4.47629E-03
  9.50000E+00   5.68882E-03
  1.00000E+01   8.68299E-03
  1.05000E+01   2.09690E-02
  1.10000E+01   3.36361E-02
  1.15000E+01   5.11934E-02
  1.20000E+01   5.64575E-02
  1.25000E+01   6.08283E-02
  1.30000E+01   6.46542E-02
  1.35000E+01   6.82516E-02
  1.40000E+01   7.14104E-02
  1.45000E+01   7.43139E-02
  1.50000E+01   7.69104E-02
  1.55000E+01   7.90896E-02
  1.60000E+01   8.08892E-02
  1.65000E+01   8.23803E-02
  1.70000E+01   8.36877E-02
  1.75000E+01   8.48850E-02
  1.80000E+01   8.60214E-02
  1.85000E+01   8.71129E-02
  1.90000E+01   8.81579E-02
  1.95000E+01   8.91751E-02
  2.00000E+01   9.01425E-02
  2.10000E+01   9.19608E-02
  2.20000E+01   9.35584E-02
  2.30000E+01   9.48604E-02
  2.40000E+01   9.58600E-02
  2.50000E+01   9.65794E-02
  2.60000E+01   9.70756E-02
  2.70000E+01   9.73933E-02
  2.80000E+01   9.75627E-02
  2.90000E+01   9.76004E-02
  3.00000E+01   9.74964E-02
  3.50000E+01   9.54082E-02
  4.00000E+01   9.16736E-02
  4.50000E+01   8.75776E-02
  5.00000E+01   8.36762E-02
  6.00000E+01   7.69694E-02
  7.00000E+01   7.10573E-02
  8.00000E+01   6.58564E-02
  9.00000E+01   6.13403E-02
  1.00000E+02   5.74373E-02
  1.25000E+02   4.97186E-02
  1.50000E+02   4.41221E-02
  2.00000E+02   3.63030E-02
  2.50000E+02   3.09632E-02
  3.00000E+02   2.69525E-02
  3.50000E+02   2.35619E-02
  4.00000E+02   2.06887E-02
  4.50000E+02   1.83313E-02
  5.00000E+02   1.63357E-02
