# MCCC calculations of electron scattering on molecular hydrogen and its isotoplogues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., At. Data Nucl. Data Tables (2022).
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=9) -> e + D2*(n,v) -> D2(X1Sg,vf=14) (excitation + radiative decay)
# Initial-state energy: -1.06367 Hartrees
# Final-state energy: -1.02471 Hartrees
# Threshold: 8.41331E+00 eV
#
# Energy (eV)   CS (a_0^2)
  8.41331E+00   0.00000E+00
  8.50000E+00   1.50902E-10
  9.00000E+00   1.32938E-03
  9.50000E+00   8.32475E-03
  1.00000E+01   1.55894E-02
  1.05000E+01   2.23622E-02
  1.10000E+01   2.84935E-02
  1.15000E+01   3.48328E-02
  1.20000E+01   4.13123E-02
  1.25000E+01   4.75339E-02
  1.30000E+01   5.34512E-02
  1.35000E+01   5.87527E-02
  1.40000E+01   6.34331E-02
  1.45000E+01   6.75035E-02
  1.50000E+01   7.11125E-02
  1.55000E+01   7.43486E-02
  1.60000E+01   7.72708E-02
  1.65000E+01   7.99386E-02
  1.70000E+01   8.23747E-02
  1.75000E+01   8.45847E-02
  1.80000E+01   8.66001E-02
  1.85000E+01   8.84630E-02
  1.90000E+01   9.01876E-02
  1.95000E+01   9.17811E-02
  2.00000E+01   9.32508E-02
  2.10000E+01   9.58353E-02
  2.20000E+01   9.80569E-02
  2.30000E+01   9.99909E-02
  2.40000E+01   1.01680E-01
  2.50000E+01   1.03159E-01
  2.60000E+01   1.04455E-01
  2.70000E+01   1.05590E-01
  2.80000E+01   1.06584E-01
  2.90000E+01   1.07455E-01
  3.00000E+01   1.08214E-01
  3.50000E+01   1.10645E-01
  4.00000E+01   1.11651E-01
  4.50000E+01   1.11907E-01
  5.00000E+01   1.11514E-01
  6.00000E+01   1.09267E-01
  7.00000E+01   1.05766E-01
  8.00000E+01   1.01895E-01
  9.00000E+01   9.79448E-02
  1.00000E+02   9.40514E-02
  1.25000E+02   8.50118E-02
  1.50000E+02   7.71714E-02
  2.00000E+02   6.47739E-02
  2.50000E+02   5.56235E-02
  3.00000E+02   4.87757E-02
  3.50000E+02   4.35873E-02
  4.00000E+02   3.95000E-02
  4.50000E+02   3.61230E-02
  5.00000E+02   3.32485E-02
